School,Date of Incident,Bus Route: Check all that Apply,Type of Incident: Check all that Apply - Selected Choice,"As the school bus driver, I have taken the following actions: - Selected Choice",Year,Term,Student Identifier,bus.dr,Ethnicity,Gender,Grade_Level
Cookeville High,12/02/2024,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A11959310BZD,1,H,F,12
Hill Valley High School,12/02/2024,Return Trip Home,"Fighting, Pushing, Tripping,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14781929BZD,2,W,M,4
Hill Valley High School,12/02/2024,Return Trip Home,"Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15467438BZD,1,W,M,3
Hill Valley High School,12/09/2024,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15467438BZD,2,W,M,3
Cookeville High,12/11/2024,Route to School,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16590152BZD,1,W,F,11
Cookeville High,12/11/2024,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13070711BZD,2,W,F,9
Hill Valley High School,12/13/2024,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A15141929BZD,1,W,M,4
Cookeville High,12/16/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13102409BZD,1,W,M,10
Cookeville High,12/16/2024,"Route to School,Return Trip Home","Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A14237627BZD,1,W,M,9
Cookeville High,12/17/2024,Route to School,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13479137BZD,5,W,F,9
Cookeville High,12/18/2024,Return Trip Home,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,2Q,A12525302BZD,2,B,M,12
Cookeville High,02/04/2025,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14635244BZD,1,H,M,9
Cookeville High,02/04/2025,Route to School,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12641120BZD,2,W,F,9
Cookeville High,02/06/2025,Route to School,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16847639BZD,1,W,M,10
Bayside,,Return Trip Home,"Intentional violation of bus rules,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16417805BZD,2,W,F,2
Bayside,02/06/2025,Return Trip Home,"Fighting, Pushing, Tripping,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15378911BZD,1,W,M,3
Bayside,,,,,2024 - 2025,3Q,A15846311BZD,0,W,M,-1
Bayside,02/07/2025,Return Trip Home,"Fighting, Pushing, Tripping,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15142472BZD,1,W,M,4
Rydell High School,02/10/2025,Return Trip Home,Other,Request school administrator assistance ASAP!,2024 - 2025,3Q,A16277609BZD,1,B,M,1
Hill Valley High School,02/07/2025,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14434376BZD,1,W,M,3
Cookeville High,02/11/2025,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12525302BZD,3,B,M,12
Cookeville High,02/12/2025,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14911724BZD,3,H,M,9
Cookeville High,02/12/2025,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15249146BZD,4,W,M,11
Cookeville High,02/12/2025,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15579545BZD,1,W,F,12
Bayside,02/13/2025,Return Trip Home,Violation of Safety Procedures,Request school administrator assistance ASAP!,2024 - 2025,3Q,A15378911BZD,2,W,M,3
Cookeville High,02/14/2025,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12852557BZD,1,W,M,10
Cookeville High,,Route to School,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,3Q,A16528517BZD,1,W,M,12
Rydell High School,02/25/2025,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15144356BZD,2,W,F,3
Hill Valley High School,02/25/2025,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14434376BZD,2,W,M,3
Hill Valley High School,02/27/2025,Route to School,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15141929BZD,2,W,M,4
Bayside,02/28/2025,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Willful disobedience,Throwing objects on or from the bus,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16417805BZD,1,W,F,2
Cookeville High,03/04/2025,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16298558BZD,2,W,M,10
Hill Valley High School,03/07/2025,Route to School,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14200298BZD,3,W,M,7
Rydell High School,03/24/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A15144356BZD,3,W,F,3
Cookeville High,03/26/2025,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13012304BZD,2,W,M,9
Springfield Elementary,03/31/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A16730867BZD,1,W,F,0
Springfield Elementary,03/31/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A16438646BZD,1,B,F,0
Cookeville High,04/01/2025,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13086323BZD,2,W,M,10
Cookeville High,04/01/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13430669BZD,1,W,F,9
Cookeville High,04/01/2025,Route to School,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13312460BZD,1,W,M,10
Cookeville High,04/01/2025,Route to School,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13052429BZD,1,H,F,9
Cookeville High,04/09/2025,Return Trip Home,"Fighting, Pushing, Tripping,Using profane or abusive language,Being disrespectful toward driver or aide",Request school administrator assistance ASAP!,2024 - 2025,4Q,A16669685BZD,1,W,F,10
Cookeville High,04/10/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14035613BZD,2,B,F,10
Bayside,04/09/2025,Return Trip Home,Other,Request school administrator assistance ASAP!,2024 - 2025,4Q,A14035613BZD,3,B,F,10
Bayside,04/09/2025,Return Trip Home,"Willful disobedience,Other",Request school administrator assistance ASAP!,2024 - 2025,4Q,A16417805BZD,2,W,F,2
Cookeville High,04/08/2025,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A12641120BZD,3,W,F,9
Shermer High School,08/19/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12732191BZD,1,W,M,10
Shermer High School,08/19/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12481682BZD,1,W,M,11
Shermer High School,08/29/2024,Return Trip Home,"Using profane or abusive language,Other",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12481682BZD,2,W,M,11
Shermer High School,09/18/2024,Return Trip Home,"Intentional violation of bus rules,Possession of or use of Tobacco, Drugs, Alcohol,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12279356BZD,1,W,M,12
Shermer High School,10/02/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,1Q,A12050321BZD,1,W,M,12
Shermer High School,11/25/2024,Route to School,"Fighting, Pushing, Tripping,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A13086344BZD,1,W,M,10
Shermer High School,12/12/2024,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,2Q,A16149077BZD,1,B,M,5
Shermer High School,01/15/2025,Return Trip Home,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,3Q,A13065230BZD,1,W,M,9
Shermer High School,01/28/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14526035BZD,4,W,M,6
Shermer High School,01/28/2025,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13732628BZD,7,B,M,7
Shermer High School,02/04/2025,Route to School,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13378412BZD,1,W,F,8
Shermer High School,02/03/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12692066BZD,1,W,M,11
Shermer High School,02/03/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16674929BZD,2,W,M,8
Shermer High School,02/03/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14029676BZD,1,W,M,9
Shermer High School,02/04/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13368554BZD,1,W,M,9
Shermer High School,02/10/2025,Route to School,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13732628BZD,8,B,M,7
Shermer High School,02/07/2025,Return Trip Home,"Willful disobedience,Leaving bus without permission",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13732628BZD,9,B,M,7
Shermer High School,02/07/2025,Return Trip Home,Being disrespectful toward driver or aide,Request school administrator assistance ASAP!,2024 - 2025,3Q,A13631453BZD,3,W,M,7
Shermer High School,02/11/2025,Route to School,"Possession of or use of Tobacco, Drugs, Alcohol",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13065230BZD,2,W,M,9
Shermer High School,02/11/2025,Route to School,"Possession of or use of Tobacco, Drugs, Alcohol",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13350404BZD,1,W,M,12
Shermer High School,03/03/2025,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13368554BZD,2,W,M,9
Shermer High School,03/05/2025,Return Trip Home,"Defacing school bus or destroying property,Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15825080BZD,1,W,M,8
Shermer High School,03/05/2025,Return Trip Home,"Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14576444BZD,3,W,M,5
Shermer High School,03/07/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A14899361BZD,1,W,M,10
Shermer High School,03/07/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13070771BZD,2,W,M,9
Shermer High School,03/07/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13065230BZD,3,W,M,9
Shermer High School,03/11/2025,Route to School,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A16149077BZD,2,B,M,5
Shermer High School,03/11/2025,Route to School,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13861622BZD,1,W,F,7
Shermer High School,03/11/2025,Return Trip Home,Using profane or abusive language,Request school administrator assistance ASAP!,2024 - 2025,3Q,A13026347BZD,1,W,F,10
Shermer High School,03/13/2025,Return Trip Home,"Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A13070771BZD,3,W,M,9
Shermer High School,03/13/2025,Return Trip Home,"Intentional violation of bus rules,Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,3Q,A12732125BZD,3,W,M,9
Shermer High School,03/13/2025,Return Trip Home,"Fighting, Pushing, Tripping,Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,3Q,A15026240BZD,1,W,M,6
Shermer High School,03/13/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13368554BZD,3,W,M,9
Shermer High School,03/13/2025,Return Trip Home,"Intentional violation of bus rules,Willful disobedience,Violation of Safety Procedures",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14899361BZD,2,W,M,10
Shermer High School,03/24/2025,Return Trip Home,"Intentional violation of bus rules,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13732628BZD,10,B,M,7
Shermer High School,03/25/2025,Route to School,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14899361BZD,3,W,M,10
Shermer High School,03/26/2025,Return Trip Home,"Fighting, Pushing, Tripping,Being disrespectful toward driver or aide",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14576444BZD,4,W,M,5
Shermer High School,03/27/2025,Return Trip Home,"Using profane or abusive language,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A14189777BZD,2,W,M,6
Shermer High School,04/03/2025,Return Trip Home,"Using profane or abusive language,Being disrespectful toward driver or aide,Willful disobedience",Request school administrator assistance ASAP!,2024 - 2025,4Q,A13378412BZD,2,W,F,8
Shermer High School,04/03/2025,Route to School,Willful disobedience,Request school administrator assistance ASAP!,2024 - 2025,4Q,A15790118BZD,1,H,F,8